2008,TRUE TEARS					,
2011,花咲くいろは				, お仕事シリーズ第1段
2012,TARI TARI
2013,花咲くいろは劇場版
2013,凪のあすから
2014,グラスリップ
2015,SHIROBAKO					, お仕事シリーズ第2段
2017,サクラクエスト				, お仕事シリーズ第3段
2018,さよならの朝に約束の花をかざろう
2018,色づく世界の明日から
2020,SHIROBAKO劇場版
2021,白い砂のアクアトープ			, お仕事シリーズ第4段
2023,駒田蒸留所へようこそ			, お仕事シリーズ第5段
